id,latitude,longitude,temperature,precipitation
1,1.5156,-77.49498,111,6.8
2,-3.5943944,26.6700737,25,2.14
3,55.56047,47.39297,31,1.21
4,28.374107,111.212846,26,4.68
5,32.0607438,45.2384164,68,1.41
6,26.3237782,88.5167162,29,8.18
7,38.487193,106.230908,35,1.53
8,-12.1450486,96.8217017,107,3.1
9,42.2685369,86.8680361,24,2.59
10,40.1667409,44.2123603,16,2.79
11,7.05,124.58333,70,4.88
12,27.542493,110.702501,38,3.33
13,-33.0276981,17.9176312,95,0.74
14,44.9293507,39.7571015,79,6.17
15,48.9330384,2.0412764,105,6.73
16,-8.7789516,122.0098642,72,9.13
17,39.0527074,116.9237911,57,2.03
18,22.280436,114.157935,74,2.77
19,59.4015532,18.3427724,28,8.12
20,24.066095,108.664778,72,3.54
21,27.69965,108.839557,32,5.8
22,31.723247,119.597896,98,9.2
23,25.822138,116.793053,78,8.96
24,-5.3629365,39.6526462,50,0.61
25,-7.3743397,110.2648159,18,5.74
26,-15.8958471,-52.2516426,67,1.56
27,45.3913779,40.1763516,76,5.53
28,-40.4057293,175.5843632,52,2.04
29,22.585397,113.38492,91,8.83
30,6.7368274,2.6636066,51,7.56
31,37.9011442,23.8726503,49,1.64
32,31.188658,115.36761,105,4.2
33,-38.956431,-68.23127,41,3.09
34,41.0907665,-8.60487,45,3.78
35,40.1912987,44.384146,31,9.06
36,37.399373,110.691139,76,3.61
37,30.628795,104.0436982,22,9.41
38,32.890479,115.814504,70,1.75
39,11.0871586,123.9861013,57,9.93
40,29.916694,121.529927,30,6.32
41,3.1121428,101.6935065,54,9.67
42,40.727504,19.5627596,72,1.54
43,-31.7790432,-54.6945328,35,8.98
44,22.8564518,-82.4211025,20,7.37
45,-21.953253,-48.0006076,58,0.15
46,41.565627,120.453743,71,4.7
47,40.9676726,126.5990916,54,5.02
48,56.355176,26.1725258,83,3.36
49,49.7392784,19.8619324,91,0.22
50,13.6757837,-89.2894733,96,5.35
51,41.055232,19.9537797,62,3.02
52,55.8304171,49.1812984,42,7.95
53,59.3245933,17.9509504,37,3.03
54,58.1628402,16.3083468,32,2.93
55,28.041005,110.814125,115,0.67
56,15.3680416,-87.9383822,69,9.2
57,31.434625,120.004045,52,8.8
58,44.692194,85.70601,56,9.13
59,5.7265629,-71.993941,111,2.2
60,12.5640276,123.7304111,104,9.69
61,35.440708,117.09616,17,7.35
62,36.5658729,53.0586328,103,1.48
63,38.58,-121.49,26,8.84
64,13.264915,123.4256573,40,4.59
65,20.8965838,-105.4093552,79,2.4
66,24.466675,112.626495,64,4.68
67,-14.1,-70.2,86,0.7
68,-0.1806532,-78.4678382,73,1.9
69,6.856106,79.917758,34,1.44
70,48.316667,106.25,66,6.77
71,33.5727724,36.4093761,107,9.59
72,10.4184707,122.8854511,58,1.07
73,37.751853,128.8760574,46,0.53
74,48.6688151,22.7524961,96,5.46
75,27.283955,105.291643,77,1.04
76,36.628305,101.765843,72,9.66
77,50.1758214,30.1017634,27,6.31
78,0.0851034,-76.8940156,55,1.48
79,35.575417,114.519311,25,0.69
80,38.173303,77.215838,81,7.21
81,24.884626,104.308675,84,2.68
82,39.444422,121.31294,95,1.35
83,32.7778898,61.6567273,65,0.69
84,-6.2318126,106.8396166,83,4.42
85,29.082103,111.06586,21,9.46
86,50.81667,27.03333,81,5.12
87,-9.821088,124.4031833,77,7.03
88,13.2916538,-87.6519473,51,5.68
89,10.072035,-73.7007088,15,9.93
90,-7.7955798,110.3694896,55,0.75
91,56.0017,55.928,22,5.83
92,26.458254,114.786182,102,9.97
93,59.9388564,30.3598522,78,2.23
94,23.105394,113.874335,85,9.1
95,41.985186,122.836723,86,3.47
96,-18.7679039,46.0515529,45,2.21
97,42.8970535,-8.5418899,33,5.0
98,48.1735752,91.7678144,63,7.84
99,7.7630152,5.7247169,35,0.97
100,47.2550409,-1.5401497,76,7.13
101,50.4915831,16.2682843,96,4.31
102,5.9840985,116.0761121,114,6.14
103,49.2752229,1.207968,57,6.12
104,19.015744,108.916255,85,1.81
105,54.80639,35.92778,76,5.02
106,32.025538,104.868349,96,2.37
107,44.346784,5.8855505,103,4.61
108,50.8018212,30.1345542,108,7.94
109,43.8164948,4.8090237,85,2.99
110,-26.9655922,-50.4178973,75,5.9
111,-6.0912649,-35.4124355,50,2.8
112,-6.955869,110.248722,57,0.18
113,-22.2496709,-43.8290988,66,9.72
114,-7.3276166,112.7137227,73,7.66
115,33.2035282,131.6906274,98,4.41
116,-8.2919428,123.2254725,53,4.28
117,40.23921,116.12895,47,7.71
118,35.99,-78.9,75,4.73
119,24.3154419,109.3656914,22,0.66
120,26.567944,106.714374,104,2.26
121,-21.2327222,-47.8167164,68,8.13
122,31.207751,121.293544,106,8.43
123,51.2804955,9.4266475,54,7.9
124,52.5429093,21.9001014,87,9.19
125,52.176031,-6.5899765,61,5.46
126,8.959667,-73.626268,61,4.37
127,58.1420431,28.203342,40,2.06
128,59.7411336,18.3453989,98,3.82
129,24.9936281,121.3009798,112,4.15
130,14.0042175,121.3216161,72,3.26
131,15.4977734,100.2151578,62,1.57
132,41.1846313,-8.598522,39,9.58
133,14.2552463,-89.8497574,65,3.99
134,30.07728,103.848396,103,1.36
135,30.031533,101.014425,85,3.07
136,13.9497515,-88.63499,49,4.27
137,32.8872094,13.1913383,55,5.21
138,34.855441,33.5784007,50,1.07
139,27.58237,110.897275,31,9.91
140,10.3043903,104.6354631,35,0.59
141,40.7929026,43.8464971,95,4.2
142,58.0537462,27.0548658,29,3.59
143,46.7803082,14.9136917,67,3.67
144,15.229571,-23.2141352,20,1.13
145,31.8239619,49.8700862,30,4.88
146,59.4744985,18.3007988,40,2.37
147,55.6854725,12.5666087,21,8.67
148,-5.7577862,105.6984455,89,4.35
149,32.2438426,-8.5226706,17,4.13
150,14.9415552,-88.3263603,73,8.51
151,21.6818943,102.1089679,91,2.44
152,60.1161159,30.2124344,16,2.52
153,11.383932,107.5386809,45,9.95
154,-6.8435796,106.8296372,39,6.24
155,-8.602068,116.195655,56,9.41
156,40.7177351,-111.8985922,25,6.4
157,45.7873408,126.7075176,29,6.38
158,38.895126,117.005412,57,5.9
159,33.766169,113.192661,42,3.0
160,7.4700493,124.3789673,42,1.36
161,40.8979064,-7.9345589,108,9.07
162,-34.4402062,-55.9600098,71,2.34
163,45.8860486,20.194172,91,3.07
164,29.079175,119.64742,72,3.48
165,59.9050895,10.7673005,103,1.02
166,7.1962805,125.4078017,113,9.47
167,37.786653,113.657841,67,8.93
168,56.3448609,25.5603229,65,0.32
169,20.011946,110.201664,17,3.84
170,24.737065,118.630289,49,0.53
171,10.0342937,126.0415372,19,0.22
172,41.985186,122.836723,77,8.77
173,15.3833332,120.8000031,34,9.21
174,-6.9484206,110.2579036,98,0.5
175,40.99849,111.1617,17,3.15
176,30.471857,104.983818,77,2.3
177,45.9956745,20.0278794,28,9.25
178,49.0419017,28.4169896,87,6.88
179,38.2645,114.690007,66,7.89
180,-29.357495,-50.7832348,30,4.88
181,35.066619,116.311532,60,7.83
182,-15.6921494,46.3336857,27,3.64
183,12.7867105,39.5433388,60,0.03
184,48.2044234,5.942257,21,1.1
185,22.826877,107.840624,105,7.26
186,57.6439405,11.9021049,110,7.4
187,23.269131,114.524679,21,0.08
188,40.637939,69.59436,87,0.53
189,57.4930406,15.8361761,108,8.54
190,64.9142998,77.7663297,60,0.37
191,52.7387427,58.6660975,64,5.44
192,16.8047297,99.1013498,31,1.96
193,48.957695,2.881818,51,2.14
194,-5.6455578,-37.8512309,64,4.31
195,9.2559967,118.4057103,80,4.9
196,51.64438,22.561217,92,2.84
197,42.0817502,-76.854799,109,1.19
198,35.1268513,-119.1855785,33,6.64
199,-8.2517133,111.4365318,21,3.66
200,42.0275439,23.9915523,17,0.03
201,16.0213558,100.417181,46,5.32
202,46.5210948,32.5201269,106,3.37
203,-7.8808775,-40.0810267,52,5.35
204,-34.6143841,-58.4708749,67,6.06
205,23.875208,112.542428,45,5.55
206,31.7698671,-106.4161964,68,7.26
207,5.827963,121.160161,72,2.86
208,43.32807,132.08832,90,3.88
209,-0.8406658,-80.1596041,58,6.6
210,27.6376503,30.8510692,25,6.91
211,-0.9676533,-80.7089101,97,0.36
212,52.85768,14.39293,82,6.47
213,41.346515,-7.942457,32,9.37
214,5.4827405,-73.4062342,90,5.69
215,15.3694451,44.1910066,69,4.23
216,6.1205312,-75.2803017,30,2.83
217,39.55699,-8.736667,52,4.95
218,-4.3253802,20.5870955,49,7.13
219,26.141854,116.188408,91,2.89
220,39.630867,118.180193,19,3.22
221,33.1401715,119.7889248,19,5.21
222,-7.3697672,112.5125893,66,8.25
223,36.7846385,138.4565967,60,4.14
224,51.0768632,22.2730418,52,8.81
225,49.781138,14.1671734,100,2.71
226,-20.0256695,-44.0572964,62,6.36
227,53.4855448,-6.1544115,98,7.14
228,49.0650385,17.4897284,33,2.0
229,51.4057505,-2.5573746,40,0.94
230,47.1900322,102.8340449,29,5.85
231,47.3599545,6.3904955,109,8.3
232,-22.7238417,-51.4099625,83,7.22
